__init__.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/django_project/__init__.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
wsgi.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/django_project/wsgi.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
admin.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/admin.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
models.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/models.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
tests.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/tests.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
urls.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/urls.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
views.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/views.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
__init__.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/__init__.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
apps.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/apps.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
0002_post_date_modified.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/migrations/0002_post_date_modified.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
0001_initial.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/migrations/0001_initial.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
__init__.py,path:/home/samir/GitHub/heap/BackEnd/django/attempt #2 (Django 2.1)/django_project/blog/migrations/__init__.py,last modified:Wed Sep 28 22:40:20 2022,created:Wed Sep 28 22:40:20 2022,created by:samir
github pages.py,path:/home/samir/GitHub/heap/code/reference/github pages.py,last modified:Wed Sep 28 22:41:34 2022,created:Wed Sep 28 22:41:34 2022,created by:samir
Test.py,path:/home/samir/GitHub/heap/code/test/Test.py,last modified:Wed Sep 28 22:41:34 2022,created:Wed Sep 28 22:41:34 2022,created by:samir
Pre.py,path:/home/samir/GitHub/scripts/Python/#3A - Pre.py/Pre.py,last modified:Wed Oct 19 10:55:14 2022,created:Wed Oct 19 10:55:14 2022,created by:samir
DCC.py,path:/home/samir/GitHub/scripts/Python/#2A - DCC.py/DCC.py,last modified:Wed Oct 19 10:55:14 2022,created:Wed Oct 19 10:55:14 2022,created by:samir
lookup.py,path:/home/samir/GitHub/scripts/Python/#4A - lookup.py/lookup.py,last modified:Wed Oct 19 11:43:06 2022,created:Wed Oct 19 11:43:06 2022,created by:samir
runner.py,path:/home/samir/GitHub/scripts/Python/#1A - runner.py/runner.py,last modified:Wed Oct 19 10:55:14 2022,created:Wed Oct 19 10:55:14 2022,created by:samir
ls.py,path:/home/samir/GitHub/Internet-Technology/Project #2/ls.py,last modified:Mon Oct 17 17:59:09 2022,created:Mon Oct 17 17:59:09 2022,created by:samir
ts2.py,path:/home/samir/GitHub/Internet-Technology/Project #2/ts2.py,last modified:Mon Oct 17 17:59:09 2022,created:Mon Oct 17 17:59:09 2022,created by:samir
client.py,path:/home/samir/GitHub/Internet-Technology/Project #2/client.py,last modified:Mon Oct 17 17:59:09 2022,created:Mon Oct 17 17:59:09 2022,created by:samir
ts1.py,path:/home/samir/GitHub/Internet-Technology/Project #2/ts1.py,last modified:Mon Oct 17 17:59:09 2022,created:Mon Oct 17 17:59:09 2022,created by:samir
client.py,path:/home/samir/GitHub/Internet-Technology/Project #1/client.py,last modified:Tue Oct 11 10:14:33 2022,created:Tue Oct 11 10:20:17 2022,created by:samir
server.py,path:/home/samir/GitHub/Internet-Technology/Project #1/server.py,last modified:Tue Oct 11 10:14:33 2022,created:Tue Oct 11 10:20:17 2022,created by:samir
proj.py,path:/home/samir/GitHub/Internet-Technology/Project #1/Starter Files/proj.py,last modified:Wed Sep 21 20:31:39 2022,created:Sun Sep 25 10:45:26 2022,created by:samir
server.py,path:/home/samir/GitHub/Internet-Technology/Project #3/server.py,last modified:Sat Oct 15 23:21:31 2022,created:Sat Oct 15 23:21:31 2022,created by:samir
server.py,path:/home/samir/GitHub/Internet-Technology/Project #3/Starter Files/server.py,last modified:Sat Oct 15 23:16:54 2022,created:Sat Oct 15 23:20:36 2022,created by:samir
ANpp.py,path:/home/samir/.vscode-server/data/User/History/-4e07c60c/ANpp.py,last modified:Wed Sep 21 20:56:34 2022,created:Wed Sep 21 20:56:34 2022,created by:samir
